t_index	term	df
1336	borivoj	1
1337	bork	1
1338	borka	1
1339	born	38
1340	bornagain	1
1341	borneo	4
1342	borotra	1
1343	borrow	2
1344	borzon	1
1345	bosnia	13
1346	bosniaherzegovina	3
1347	bosnian	5
1348	boss	10
1349	boston	17
1350	bostoni	1
1351	botch	5
1352	bother	9
1353	bottl	5
1354	bottom	27
1355	bouak	1
1356	boucher	8
1357	bouffard	1
1358	bought	10
1359	boulevard	1
1360	bounc	7
1361	bound	14
1362	boundari	2
1363	bounti	1
1364	bout	5
1365	bow	11
1366	bowel	2
1367	bowen	2
1368	bowl	1
1369	bowman	1
1370	bowmen	1
1371	bowrey	1
1372	box	17
1373	boxer	1
1374	boy	35
1375	boycot	26
1376	boycott	18
1377	boyd	1
1378	boyfriend	4
1379	bozov	3
1380	braca	2
1381	brace	4
1382	braci	1
1383	bracket	1
1384	brad	6
1385	bradi	1
1386	bradman	1
1387	bradshaw	1
1388	brag	4
1389	brain	2
1390	brainwash	3
1391	brake	1
1392	branch	9
1393	brand	6
1394	brandish	6
1395	brandon	1
1396	brash	2
1397	brass	4
1398	brave	6
1399	bravent	1
1400	braveri	2
1401	bravo	4
1402	brazen	1
1403	brazil	2
1404	brazilian	1
1405	breach	3
1406	bread	1
1407	breadbasket	2
1408	break	104
1409	breakaway	2
1410	breakdown	3
1411	breaker	1
1412	breakfast	6
1413	breakout	9
1414	breakpoint	1
1415	breakthrough	12
1416	breakup	4
1417	breast	4
1418	breath	6
1419	breaux	1
1420	breed	5
1421	breez	6
1422	breme	1
1423	bremer	1
1424	brenton	2
1425	brevant	1
1426	brew	3
1427	brewer	1
1428	brian	15
1429	bribe	40
1430	briberi	10
1431	brick	10
1432	brickwal	1
1433	bride	1
1434	bridg	19
1435	bridgett	1
1436	brie	6
1437	brief	27
1438	brig	1
1439	brigad	3
1440	bright	10
1441	brighten	2
1442	brighter	1
1443	brightest	2
1444	brightey	1
1445	brightli	1
1446	brilliant	3
1447	brim	1
1448	bring	126
1449	brink	6
1450	brisk	1
1451	briskli	3
1452	bristl	3
1453	britain	37
1454	brith	1
1455	british	56
1456	briton	3
1457	broad	11
1458	broadbas	2
1459	broadbeam	1
1460	broadbrush	1
1461	broadcast	59
1462	broaden	2
1463	broader	9
1464	broadli	3
1465	broder	1
1466	brokaw	1
1467	broke	91
1468	broken	49
1469	broker	7
1470	brokerag	1
1471	bronco	1
1472	bronxvil	1
1473	bronz	2
1474	brood	1
1475	brook	3
1476	brooklyn	1
1477	broom	1
1478	brother	66
1479	brotherinlaw	6
1480	brought	116
1481	brow	2
1482	brown	15
1483	brownskin	1
1484	broz	1
1485	bruce	1
1486	bruis	7
1487	brunei	22
1488	brunswick	1
1489	brunt	4
1490	brush	5
1491	brussel	6
1492	brutal	16
1493	bryan	4
1494	bryann	1
1495	bryant	1
1496	bs	2
1497	bu	18
1498	bubbl	1
1499	bubblegum	1
1500	buccan	1
1501	buchanan	7
1502	buck	9
1503	bucket	4
1504	buckl	13
1505	bud	3
1506	budapest	1
1507	buddhist	1
1508	buddi	1
1509	budget	9
1510	budnev	1
1511	budor	1
1512	budsmen	1
1513	budva	1
1514	bueni	1
1515	buf	4
1516	buff	4
1517	buffalo	3
1518	buffer	1
1519	bug	5
1520	bugss	1
1521	build	169
1522	builder	6
1523	buildup	2
1524	built	27
1525	bulatov	7
1526	bulg	1
1527	bulgaria	3
1528	bulk	4
1529	bulkhead	4
1530	bulki	1
1531	bulldoz	25
1532	bullet	8
1533	bulletin	3
1534	bulletproof	5
1535	bulli	3
1536	bullzdoz	1
1537	bum	1
1538	bump	2
1539	bumper	4
1540	bumpi	1
1541	bunch	5
1542	bundl	1
1543	bungl	6
1544	bunk	4
1545	bunker	7
1546	bunkroom	1
1547	bunt	1
1548	buoy	7
1549	buraika	1
1550	burch	1
1551	burden	7
1552	bureau	33
1553	bureaucraci	4
1554	bureaucrat	7
1555	burglar	7
1556	burglari	8
1557	burgsmul	2
1558	buri	85
1559	burial	13
1560	burk	3
1561	burkeclass	2
1562	burkhard	1
1563	burkina	8
1564	burkinab	1
1565	burkl	5
1566	burli	4
1567	burn	46
1568	burnedout	3
1569	burner	2
1570	burnt	3
1571	burri	1
1572	burst	10
1573	burton	5
1574	buse	19
1575	bush	98
